TMZDIFF,WRITETIME,Node,Timestamp,CEC_name,CEC_Mfg,CEC_Model,CEC_SN,State,Num_Partitions,CPU_Total,CPU_allocated,CPU_unallocated,Total_Shared_CPUs,Total_Mem_MB,Allocated_Mem_MB,Unallocated_Mem_MB,Num_proc_pools,Num_mem_pools,CPU_Units_Used,CPU_Used_Pct,Firmware_Version,Dedicated_CPU_Units_Used,Dedicated_CPU_Used_Pct,Shared_CPU_Units_Used,Shared_CPU_Used_Pct,Sample_Timestamp,Sample_Interval,ICDIS,IMDIS,IPDIS,Subnode_MSN,Total_Installed_CPUs,Total_Installed_Memory_MB
21600,1170103004513019,dchmc01:aixdc127:PH,1170103004512000,AC822CEC06-R705-SN21BDAAV,IBM,8284-22A,21BDAAV,0,2,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BDAAV:SVR,-1,-1
21600,1170103004513020,dchmc01:aixdc127:PH,1170103004512000,AC822CEC04-R703-SN21BDADV,IBM,8284-22A,21BDADV,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BDADV:SVR,-1,-1
21600,1170103004513021,dchmc01:aixdc127:PH,1170103004512000,AC822CEC01-R701-SN21BDA9V,IBM,8284-22A,21BDA9V,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BDA9V:SVR,-1,-1
21600,1170103004513022,dchmc01:aixdc127:PH,1170103004512000,AC822CEC10-R901-SN21BDB0V,IBM,8284-22A,21BDB0V,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BDB0V:SVR,-1,-1
21600,1170103004513014,dchmc01:aixdc127:PH,1170103004512000,AC822CEC09-R706-SN21BDACV,IBM,8284-22A,21BDACV,0,2,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BDACV:SVR,-1,-1
21600,1170103004513015,dchmc01:aixdc127:PH,1170103004512000,DC822CEC01-R3828-SN21BE32V,IBM,8284-22A,21BE32V,0,2,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BE32V:SVR,-1,-1
21600,1170103004513016,dchmc01:aixdc127:PH,1170103004512000,DC822CEC04-R4028-SN21BE30V,IBM,8284-22A,21BE30V,0,2,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BE30V:SVR,-1,-1
21600,1170103004513017,dchmc01:aixdc127:PH,1170103004512000,AC822CEC14-R905-SN21BD9EV,IBM,8284-22A,21BD9EV,0,2,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BD9EV:SVR,-1,-1
21600,1170103004513018,dchmc01:aixdc127:PH,1170103004512000,AC824CEC01-R703-SN21DF42V,IBM,8286-42A,21DF42V,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8286-42A_21DF42V:SVR,-1,-1
21600,1170103000012004,tlabhmc01:aixdc127:PH,1170103000011000,T750CEC01-R325-SN102B7DP,IBM,8233-E8B,102B7DP,0,10,8,7,1,7,131072,93696,37376,1,0,0.11,1.4,"149,01AL730",0,0,0.11,1.4,2017-01-02 23:51:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_102B7DP:SVR,8,131072
21600,1170103001512000,tlabhmc01:aixdc127:PH,1170103001511000,T750CEC01-R325-SN102B7DP,IBM,8233-E8B,102B7DP,0,10,8,7,1,7,131072,93696,37376,1,0,0.23,2.9,"149,01AL730",0,0,0.23,2.9,2017-01-03 00:06:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_102B7DP:SVR,8,131072
21600,1170103001512001,tlabhmc01:aixdc127:PH,1170103001511000,T750CEC02-R329-SN102B7EP,IBM,8233-E8B,102B7EP,0,7,8,4.8,3.2,5,131072,112384,18688,1,0,0.1,1.2,"149,01AL730",0,0,0.1,1.2,2017-01-03 00:11:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_102B7EP:SVR,8,131072
21600,1170103004513023,dchmc01:aixdc127:PH,1170103004512000,AC822CEC12-R901-SN21BDA3V,IBM,8284-22A,21BDA3V,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:dchmc01-8284-22A_21BDA3V:SVR,-1,-1
21600,1170103000012000,tlabhmc01:aixdc127:PH,1170103000011000,T750CEC03-R329-SN069AA3P,IBM,8233-E8B,069AA3P,0,2,32,6,26,6,524288,114432,409856,1,0,0.08,0.3,"149,01AL730",0,0,0.08,0.3,2017-01-02 23:56:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_069AA3P:SVR,32,524288
21600,1170103000012001,tlabhmc01:aixdc127:PH,1170103000011000,T710CEC02-R329-SN21DF5AT,IBM,8231-E1D,21DF5AT,0,3,8,3,5,3,131072,45568,85504,1,0,0.07,0.9,"110,01AL770",0,0,0.07,0.9,2017-01-02 23:56:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8231-E1D_21DF5AT:SVR,8,131072
21600,1170103000012002,tlabhmc01:aixdc127:PH,1170103000011000,T710CEC01-R325-SN21DF5BT,IBM,8231-E1D,21DF5BT,0,4,8,3.2,4.8,4,131072,49408,81664,1,0,0.08,1,"110,01AL770",0,0,0.08,1,2017-01-02 23:56:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8231-E1D_21DF5BT:SVR,8,131072
21600,1170103000012003,tlabhmc01:aixdc127:PH,1170103000011000,T750CEC02-R329-SN102B7EP,IBM,8233-E8B,102B7EP,0,7,8,4.8,3.2,5,131072,112384,18688,1,0,0.15,1.8,"149,01AL730",0,0,0.15,1.8,2017-01-02 23:56:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_102B7EP:SVR,8,131072
21600,1170103003012003,tlabhmc01:aixdc127:PH,1170103003011000,T750CEC02-R329-SN102B7EP,IBM,8233-E8B,102B7EP,0,7,8,4.8,3.2,5,131072,112384,18688,1,0,0.09,1.1,"149,01AL730",0,0,0.09,1.1,2017-01-03 00:26:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_102B7EP:SVR,8,131072
21600,1170103003012004,tlabhmc01:aixdc127:PH,1170103003011000,T750CEC01-R325-SN102B7DP,IBM,8233-E8B,102B7DP,0,10,8,7,1,7,131072,93696,37376,1,0,0.11,1.4,"149,01AL730",0,0,0.11,1.4,2017-01-03 00:21:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_102B7DP:SVR,8,131072
21600,1170103001512002,tlabhmc01:aixdc127:PH,1170103001511000,T710CEC01-R325-SN21DF5BT,IBM,8231-E1D,21DF5BT,0,4,8,3.2,4.8,4,131072,49408,81664,1,0,0.09,1.1,"110,01AL770",0,0,0.09,1.1,2017-01-03 00:11:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8231-E1D_21DF5BT:SVR,8,131072
21600,1170103001512003,tlabhmc01:aixdc127:PH,1170103001511000,T710CEC02-R329-SN21DF5AT,IBM,8231-E1D,21DF5AT,0,3,8,3,5,3,131072,45568,85504,1,0,0.08,1,"110,01AL770",0,0,0.08,1,2017-01-03 00:11:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8231-E1D_21DF5AT:SVR,8,131072
21600,1170103001512004,tlabhmc01:aixdc127:PH,1170103001511000,T750CEC03-R329-SN069AA3P,IBM,8233-E8B,069AA3P,0,2,32,6,26,6,524288,114432,409856,1,0,0.09,0.3,"149,01AL730",0,0,0.09,0.3,2017-01-03 00:11:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_069AA3P:SVR,32,524288
21600,1170103003012000,tlabhmc01:aixdc127:PH,1170103003011000,T750CEC03-R329-SN069AA3P,IBM,8233-E8B,069AA3P,0,2,32,6,26,6,524288,114432,409856,1,0,0.1,0.3,"149,01AL730",0,0,0.1,0.3,2017-01-03 00:21:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_069AA3P:SVR,32,524288
21600,1170103003012001,tlabhmc01:aixdc127:PH,1170103003011000,T710CEC02-R329-SN21DF5AT,IBM,8231-E1D,21DF5AT,0,3,8,3,5,3,131072,45568,85504,1,0,0.07,0.9,"110,01AL770",0,0,0.07,0.9,2017-01-03 00:21:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8231-E1D_21DF5AT:SVR,8,131072
21600,1170103003012002,tlabhmc01:aixdc127:PH,1170103003011000,T710CEC01-R325-SN21DF5BT,IBM,8231-E1D,21DF5BT,0,4,8,3.2,4.8,4,131072,49408,81664,1,0,0.09,1.1,"110,01AL770",0,0,0.09,1.1,2017-01-03 00:26:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8231-E1D_21DF5BT:SVR,8,131072
21600,1170103000025002,pshmc10:aixdc148:PH,1170103000024000,P550CEC36-R616-SN101B716,IBM,8204-E8A,101B716,0,1,4,4,0,0,32768,32768,0,0,0,0.36,9,"143,01EL350",0.36,9,0,0,2017-01-02 23:50:22 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B716:SVR,4,32768
21600,1170103004512000,tlabhmc01:aixdc127:PH,1170103004511000,T710CEC02-R329-SN21DF5AT,IBM,8231-E1D,21DF5AT,0,3,8,3,5,3,131072,45568,85504,1,0,0.08,1,"110,01AL770",0,0,0.08,1,2017-01-03 00:36:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8231-E1D_21DF5AT:SVR,8,131072
21600,1170103004512001,tlabhmc01:aixdc127:PH,1170103004511000,T750CEC01-R325-SN102B7DP,IBM,8233-E8B,102B7DP,0,10,8,7,1,7,131072,93696,37376,1,0,0.11,1.4,"149,01AL730",0,0,0.11,1.4,2017-01-03 00:41:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_102B7DP:SVR,8,131072
21600,1170103004512002,tlabhmc01:aixdc127:PH,1170103004511000,T750CEC02-R329-SN102B7EP,IBM,8233-E8B,102B7EP,0,7,8,4.8,3.2,5,131072,112384,18688,1,0,0.07,0.8,"149,01AL730",0,0,0.07,0.8,2017-01-03 00:36:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_102B7EP:SVR,8,131072
21600,1170103004512003,tlabhmc01:aixdc127:PH,1170103004511000,T750CEC03-R329-SN069AA3P,IBM,8233-E8B,069AA3P,0,2,32,6,26,6,524288,114432,409856,1,0,0.1,0.3,"149,01AL730",0,0,0.1,0.3,2017-01-03 00:36:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8233-E8B_069AA3P:SVR,32,524288
21600,1170103004512004,tlabhmc01:aixdc127:PH,1170103004511000,T710CEC01-R325-SN21DF5BT,IBM,8231-E1D,21DF5BT,0,4,8,3.2,4.8,4,131072,49408,81664,1,0,0.09,1.1,"110,01AL770",0,0,0.09,1.1,2017-01-03 00:36:30 GMT-06:00,300,1,1,1,PH:tlabhmc0-8231-E1D_21DF5BT:SVR,8,131072
21600,1170103000025000,pshmc10:aixdc148:PH,1170103000024000,P550CEC33-R617-SN101B6E6,IBM,8204-E8A,101B6E6,0,1,4,4,0,0,32768,32768,0,0,0,0.13,3.4,"143,01EL350",0.13,3.4,0,0,2017-01-02 23:50:22 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6E6:SVR,4,32768
21600,1170103000025001,pshmc10:aixdc148:PH,1170103000024000,P550CEC35-R617-SN101B706,IBM,8204-E8A,101B706,0,1,4,4,0,0,32768,32768,0,0,0,1.1,27.4,"143,01EL350",1.1,27.4,0,0,2017-01-02 23:50:22 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B706:SVR,4,32768
21600,1170103000025003,pshmc10:aixdc148:PH,1170103000024000,P550CEC34-R617-SN101B6F6,IBM,8204-E8A,101B6F6,0,1,4,4,0,0,32768,32768,0,0,0,0.14,3.6,"143,01EL350",0.14,3.6,0,0,2017-01-02 23:50:22 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6F6:SVR,4,32768
21600,1170103000025004,pshmc10:aixdc148:PH,1170103000024000,P550CEC32-R617-SN101B6D6,IBM,8204-E8A,101B6D6,0,1,4,4,0,0,32768,32768,0,0,0,0.89,22.2,"143,01EL350",0.89,22.2,0,0,2017-01-02 23:50:22 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6D6:SVR,4,32768
21600,1170103000025005,pshmc10:aixdc148:PH,1170103000024000,P550CEC30-R616-SN101B6B6,IBM,8204-E8A,101B6B6,0,1,4,4,0,0,32768,32768,0,0,0,0.06,1.4,"143,01EL350",0.06,1.4,0,0,2017-01-02 23:50:23 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6B6:SVR,4,32768
21600,1170103000025006,pshmc10:aixdc148:PH,1170103000024000,P550CEC31-R617-SN101B6C6,IBM,8204-E8A,101B6C6,0,1,4,4,0,0,32768,32768,0,0,0,0.24,5.9,"143,01EL350",0.24,5.9,0,0,2017-01-02 23:50:23 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6C6:SVR,4,32768
21600,1170103001525000,pshmc10:aixdc148:PH,1170103001524000,P550CEC35-R617-SN101B706,IBM,8204-E8A,101B706,0,1,4,4,0,0,32768,32768,0,0,0,1.18,29.4,"143,01EL350",1.18,29.4,0,0,2017-01-03 00:05:25 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B706:SVR,4,32768
21600,1170103001525001,pshmc10:aixdc148:PH,1170103001524000,P550CEC34-R617-SN101B6F6,IBM,8204-E8A,101B6F6,0,1,4,4,0,0,32768,32768,0,0,0,0.14,3.4,"143,01EL350",0.14,3.4,0,0,2017-01-03 00:05:25 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6F6:SVR,4,32768
21600,1170103001525002,pshmc10:aixdc148:PH,1170103001524000,P550CEC32-R617-SN101B6D6,IBM,8204-E8A,101B6D6,0,1,4,4,0,0,32768,32768,0,0,0,0.41,10.2,"143,01EL350",0.41,10.2,0,0,2017-01-03 00:05:25 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6D6:SVR,4,32768
21600,1170103001525003,pshmc10:aixdc148:PH,1170103001524000,P550CEC36-R616-SN101B716,IBM,8204-E8A,101B716,0,1,4,4,0,0,32768,32768,0,0,0,0.41,10.3,"143,01EL350",0.41,10.3,0,0,2017-01-03 00:05:25 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B716:SVR,4,32768
21600,1170103001525004,pshmc10:aixdc148:PH,1170103001524000,P550CEC30-R616-SN101B6B6,IBM,8204-E8A,101B6B6,0,1,4,4,0,0,32768,32768,0,0,0,0.06,1.5,"143,01EL350",0.06,1.5,0,0,2017-01-03 00:05:26 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6B6:SVR,4,32768
21600,1170103001525005,pshmc10:aixdc148:PH,1170103001524000,P550CEC33-R617-SN101B6E6,IBM,8204-E8A,101B6E6,0,1,4,4,0,0,32768,32768,0,0,0,0.13,3.2,"143,01EL350",0.13,3.2,0,0,2017-01-03 00:05:25 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6E6:SVR,4,32768
21600,1170103001525006,pshmc10:aixdc148:PH,1170103001524000,P550CEC31-R617-SN101B6C6,IBM,8204-E8A,101B6C6,0,1,4,4,0,0,32768,32768,0,0,0,0.21,5.2,"143,01EL350",0.21,5.2,0,0,2017-01-03 00:05:26 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6C6:SVR,4,32768
21600,1170103003025000,pshmc10:aixdc148:PH,1170103003024000,P550CEC35-R617-SN101B706,IBM,8204-E8A,101B706,0,1,4,4,0,0,32768,32768,0,0,0,1.04,26.1,"143,01EL350",1.04,26.1,0,0,2017-01-03 00:20:29 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B706:SVR,4,32768
21600,1170103003025001,pshmc10:aixdc148:PH,1170103003024000,P550CEC32-R617-SN101B6D6,IBM,8204-E8A,101B6D6,0,1,4,4,0,0,32768,32768,0,0,0,0.32,7.9,"143,01EL350",0.32,7.9,0,0,2017-01-03 00:20:29 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6D6:SVR,4,32768
21600,1170103003025002,pshmc10:aixdc148:PH,1170103003024000,P550CEC36-R616-SN101B716,IBM,8204-E8A,101B716,0,1,4,4,0,0,32768,32768,0,0,0,0.32,8.1,"143,01EL350",0.32,8.1,0,0,2017-01-03 00:20:30 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B716:SVR,4,32768
21600,1170103003025003,pshmc10:aixdc148:PH,1170103003024000,P550CEC30-R616-SN101B6B6,IBM,8204-E8A,101B6B6,0,1,4,4,0,0,32768,32768,0,0,0,0.06,1.4,"143,01EL350",0.06,1.4,0,0,2017-01-03 00:20:30 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6B6:SVR,4,32768
21600,1170103003025004,pshmc10:aixdc148:PH,1170103003024000,P550CEC34-R617-SN101B6F6,IBM,8204-E8A,101B6F6,0,1,4,4,0,0,32768,32768,0,0,0,0.14,3.4,"143,01EL350",0.14,3.4,0,0,2017-01-03 00:20:30 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6F6:SVR,4,32768
21600,1170103003025006,pshmc10:aixdc148:PH,1170103003024000,P550CEC33-R617-SN101B6E6,IBM,8204-E8A,101B6E6,0,1,4,4,0,0,32768,32768,0,0,0,0.13,3.2,"143,01EL350",0.13,3.2,0,0,2017-01-03 00:20:29 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6E6:SVR,4,32768
21600,1170103004525000,pshmc10:aixdc148:PH,1170103004524000,P550CEC34-R617-SN101B6F6,IBM,8204-E8A,101B6F6,0,1,4,4,0,0,32768,32768,0,0,0,0.13,3.3,"143,01EL350",0.13,3.3,0,0,2017-01-03 00:35:34 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6F6:SVR,4,32768
21600,1170103004525001,pshmc10:aixdc148:PH,1170103004524000,P550CEC33-R617-SN101B6E6,IBM,8204-E8A,101B6E6,0,1,4,4,0,0,32768,32768,0,0,0,0.13,3.2,"143,01EL350",0.13,3.2,0,0,2017-01-03 00:35:34 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6E6:SVR,4,32768
21600,1170103004525002,pshmc10:aixdc148:PH,1170103004524000,P550CEC36-R616-SN101B716,IBM,8204-E8A,101B716,0,1,4,4,0,0,32768,32768,0,0,0,0.3,7.5,"143,01EL350",0.3,7.5,0,0,2017-01-03 00:35:34 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B716:SVR,4,32768
21600,1170103004525003,pshmc10:aixdc148:PH,1170103004524000,P550CEC31-R617-SN101B6C6,IBM,8204-E8A,101B6C6,0,1,4,4,0,0,32768,32768,0,0,0,0.23,5.7,"143,01EL350",0.23,5.7,0,0,2017-01-03 00:35:34 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6C6:SVR,4,32768
21600,1170103004525004,pshmc10:aixdc148:PH,1170103004524000,P550CEC30-R616-SN101B6B6,IBM,8204-E8A,101B6B6,0,1,4,4,0,0,32768,32768,0,0,0,0.06,1.4,"143,01EL350",0.06,1.4,0,0,2017-01-03 00:35:34 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6B6:SVR,4,32768
21600,1170103004525005,pshmc10:aixdc148:PH,1170103004524000,P550CEC35-R617-SN101B706,IBM,8204-E8A,101B706,0,1,4,4,0,0,32768,32768,0,0,0,1.01,25.3,"143,01EL350",1.01,25.3,0,0,2017-01-03 00:35:33 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B706:SVR,4,32768
21600,1170103003025005,pshmc10:aixdc148:PH,1170103003024000,P550CEC31-R617-SN101B6C6,IBM,8204-E8A,101B6C6,0,1,4,4,0,0,32768,32768,0,0,0,0.21,5.3,"143,01EL350",0.21,5.3,0,0,2017-01-03 00:20:30 GMT-06:00,300,1,1,1,PH:pshmc10-8204-E8A_101B6C6:SVR,4,32768
21600,1170103000042001,pshmc11:aixdc148:PH,1170103000041000,P550CEC35-R617-SN101B706,IBM,8204-E8A,101B706,0,1,4,4,0,0,32768,32768,0,0,0,1.03,25.8,"143,01EL350",1.03,25.8,0,0,2017-01-02 23:40:13 GMT-06:00,300,1,1,1,PH:pshmc11-8204-E8A_101B706:SVR,4,32768
21600,1170103000042002,pshmc11:aixdc148:PH,1170103000041000,P550CEC33-R617-SN101B6E6,IBM,8204-E8A,101B6E6,0,1,4,4,0,0,32768,32768,0,0,0,0.13,3.2,"143,01EL350",0.13,3.2,0,0,2017-01-02 23:40:13 GMT-06:00,300,1,1,1,PH:pshmc11-8204-E8A_101B6E6:SVR,4,32768
